City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
518,isla mujeres,21.2311,21.2311,78.85,83,100,11.45,MX,1693143956
519,bhimunipatnam,17.8833,17.8833,85.66,72,100,6.58,IN,1693143957
520,santa isabel,-23.3156,-23.3156,56.91,91,100,6.87,BR,1693143957
521,yalta,44.5,44.5,81.05,45,0,10.2,UA,1693143957
522,marietta,33.9526,33.9526,82.49,75,20,3.44,US,1693143725
523,gamba,-2.65,-2.65,76.82,80,95,10.63,GA,1693143958
524,zdvinsk,54.7021,54.7021,63.18,66,73,7.49,RU,1693143959
525,hakui,36.8833,36.8833,79.25,91,100,2.75,JP,1693143959
526,beaufort west,-32.3567,-32.3567,65.84,21,0,9.98,ZA,1693143959
527,taksimo,56.3444,56.3444,58.82,76,60,3.87,RU,1693143960
528,tubarjal,30.4999,30.4999,98.55,12,0,11.21,SA,1693143960
529,mancio lima,-7.6142,-7.6142,80.67,78,7,0.0,BR,1693143961
530,kayyerkan,69.3786,69.3786,56.3,71,83,7.83,RU,1693143961
531,qarauyl,48.9451,48.9451,78.98,28,100,22.41,KZ,1693143962
532,matola,-25.9622,-25.9622,71.55,56,40,21.85,MZ,1693143963
533,sao joao da barra,-21.6403,-21.6403,66.29,81,100,9.91,BR,1693143963
534,karmaskaly,54.3709,54.3709,62.51,65,98,6.78,RU,1693143964
535,port hedland,-20.3167,-20.3167,66.25,72,3,1.14,AU,1693143964
536,tsiombe,-25.3,-25.3,72.86,75,35,13.96,MG,1693143964
537,fauske,67.2588,67.2588,71.94,44,9,9.26,NO,1693143965
538,sodra sandby,56.5667,56.5667,66.06,74,100,10.31,SE,1693143965
539,luanco,43.6152,43.6152,70.02,71,64,13.13,ES,1693143965
540,alice springs,-23.7,-23.7,49.55,34,8,0.0,AU,1693143852
541,deqen,29.9618,29.9618,53.2,78,28,2.15,CN,1693143966
542,agadez,19.75,19.75,107.47,14,47,6.06,NE,1693143966
543,vilhena,-12.7406,-12.7406,71.82,78,40,9.22,BR,1693143967
544,emerald,-23.5333,-23.5333,61.34,48,0,9.57,AU,1693143967
545,tayoltita,24.0833,24.0833,69.4,76,67,6.06,MX,1693143968
546,kargil,34.5667,34.5667,60.69,34,74,6.2,IN,1693143968
547,saint-raphael,19.4333,19.4333,81.77,65,0,3.98,HT,1693143969
548,bengkulu,-3.8004,-3.8004,77.02,87,24,12.77,ID,1693143969
549,miles city,46.4083,46.4083,61.77,67,0,9.22,US,1693143969
550,holualoa,19.6228,19.6228,71.44,90,100,13.8,US,1693143970
551,numan,9.4667,9.4667,76.75,82,100,5.91,NG,1693143970
552,t'ongch'on-up,38.9539,38.9539,70.99,91,100,4.05,KP,1693143970
553,jiazi,22.8779,22.8779,83.1,85,99,3.87,CN,1693143971
554,port saint john's,-31.6229,-31.6229,65.23,58,47,7.34,ZA,1693143971
555,vorkuta,67.5,67.5,44.06,89,96,9.42,RU,1693143972
556,zhicheng,30.2956,30.2956,68.5,93,100,6.69,CN,1693143972
557,northam,51.0333,51.0333,64.29,90,100,11.95,GB,1693143973
558,taltal,-25.4,-25.4,67.01,56,0,4.54,CL,1693143973
559,koundara,12.4833,12.4833,87.64,68,100,7.34,GN,1693143973
560,boyolangu,-8.1181,-8.1181,71.17,95,40,3.71,ID,1693143973
561,filingue,14.3521,14.3521,96.33,36,100,6.53,NE,1693143974
562,rampachodavaram,17.45,17.45,84.11,84,96,5.61,IN,1693143974
563,walvis bay,-22.9575,-22.9575,68.95,52,0,12.66,NA,1693143975
564,ankazoabo,-22.2833,-22.2833,87.22,22,23,13.15,MG,1693143975
565,sevastopol,44.6,44.6,80.37,53,0,3.24,UA,1693143681
566,shenjiamen,29.9576,29.9576,82.65,82,92,14.56,CN,1693143975
567,qarqaraly,49.4058,49.4058,62.24,63,100,2.51,KZ,1693143976
568,bocana de paiwas,12.7857,12.7857,77.95,89,100,2.8,NI,1693143976
569,muromtsevo,56.3724,56.3724,55.83,95,100,5.41,RU,1693143976
570,cukurca,37.2481,37.2481,91.02,19,3,11.65,TR,1693143977
571,vilyuysk,63.7553,63.7553,62.19,64,6,3.09,RU,1693143977
572,fort-shevchenko,44.5086,44.5086,72.32,36,4,8.05,KZ,1693143977
573,rongelap,11.1635,11.1635,82.24,80,100,20.13,MH,1693143978
574,biltine,14.5333,14.5333,96.87,35,60,10.51,TD,1693143978
575,palmer,42.1584,42.1584,73.24,75,20,4.61,US,1693143979
576,korla,41.7597,41.7597,86.85,13,99,11.99,CN,1693143908
577,vadso,70.0744,70.0744,55.56,71,100,8.05,NO,1693143979
578,noosa heads,-26.3833,-26.3833,62.11,76,0,10.69,AU,1693143980
579,nianzishan,47.5167,47.5167,59.63,70,8,1.05,CN,1693143980
580,prado,-17.3411,-17.3411,72.82,94,100,8.14,BR,1693143981
